line_1,line_2,line_3,source,line1_syllables,line2_syllables,line3_syllables
Sur une colonne en bois,le vendeur des ballons,hisse ses souffles ,tempslibre,8,6,5
Nuit froide marchant seule,d'une maison une odeur,de beignets au sucre ,tempslibre,7,8,6
brume matinale,dans la tasse de café,la buée de l’arome ,tempslibre,6,6,7
averse au jardin,elle a fait naufrage,la tarte aux pommes ,tempslibre,6,7,6
sécheresse,dans l’eau vaseuse,un ibis blanc ,tempslibre,3,5,4
bruine d'automne,acidulée et fraiche,la pomme verte ,tempslibre,5,7,5
janvier,sur l’arbre foudroyé,le bruit de la pluie ,tempslibre,2,5,5
hiver lumineux,elle a gardé ses pétales,la dernière rose ,tempslibre,5,7,6
bruit de pas,la lune dans une flaque,sur le trottoir ,tempslibre,3,8,4
pinède au soir,au-dessus des parfums,la lune ,tempslibre,4,6,3
sécheresse,un ibis blanc,dans l’eau vaseuse ,tempslibre,3,4,5
bain parfumé,les pommes vertes,jusque dans l’oreiller ,tempslibre,3,5,6
auto fermée,l’arôme du café,s’étale ,tempslibre,4,4,2
crépuscule,d’un pin à l’autre,les sons s’éteignent ,tempslibre,3,4,4
crépuscule,le cœur de la rose,de plus en plus visible ,tempslibre,3,6,7
hiver,dans les yeux de grand-mère,une ombre grise ,tempslibre,2,6,6
aube fraîche,trois notes cristallines,l’oiseau gris du matin ,tempslibre,4,7,6
flambant neuf,les pétales blancs,du cerisier ,tempslibre,3,4,4
par à coups,le long du tronc -,la queue d'un écureuil ,tempslibre,2,4,5
papillon rouge,fleurissant la pelouse,du papier d'emballage,tempslibre,5,7,7
haïku,des ricochets dans l'eau,d'un lac,tempslibre,2,6,2
les phares traînent,le brouillard,en cornets,tempslibre,5,3,3
une photo oubliée,dans cette voiture,sourit,tempslibre,7,6,2
nuit sans étoiles,dans l'âtre,des étincelles ,tempslibre,4,2,4
Nouveau costume-,à l'approche de la moisson,l'élégance de l'épouvantail ,tempslibre,5,7,6
solitude de l'automne-,Le gecko qui me faisait peur,est mort ,tempslibre,8,8,2
photo noir et blanc-,on dirait moi-même,feu mon grand père ,tempslibre,5,5,4
hôpital-,plus fanée encore la tige dans le flacon ,de médicaments ,tempslibre,2,13,4
chaleur du soir -,dans le ventre du gecko le moustique,et mon sang ,tempslibre,4,11,3
chaleur de midi -,Il prolonge sa prière,dans la mosquée climatisée ,tempslibre,5,7,9
coléoptère iridescent -,sur ses lèvres,un cramoisi pour la soirée ,tempslibre,7,3,8
jour de la mère-,dans la mosquée El Aksa le martyr,recommande sa maman,tempslibre,5,11,7
le champ de blé brûle ,vaine la fatigue,de l’épouvantail ,tempslibre,6,6,5
élagage des petites branches-,maman distribue des friandises,pour la circoncision ,tempslibre,10,9,6
arrêt des gazouillis -,avec la querelle ,chacun lave son assiette ,tempslibre,6,6,8
croissant de l’aïd*-,à côté de l’arbre le trou ,pour l’argent de la petite  ,tempslibre,4,8,8
bon ramadan !,sur what’s ap les voisins s’échangent ,des photos de plats ,tempslibre,4,9,5
Alzheimer-,sur le contrat de vente l’empreinte ,de son pouce ,tempslibre,3,10,4
rétroviseur latéral -,avec un torchon ,j’essuie le ciel ,tempslibre,7,5,4
nuit noire-,je dépoussière la chouette ,momifiée ,tempslibre,3,8,4
nuages-,au loin la pluie emporte ,l’urine du soûlard ,tempslibre,3,7,6
feu au dehors -,les sans abris,en un seul bloc ,tempslibre,4,4,4
maison de campagne-,sur la corde à linge sèche ,la viande à l’ail ,tempslibre,6,9,5
route boueuse -,à la main de la petite ,les nouvelles chaussures ,tempslibre,4,8,7
froideur d'hiver-,l'ingénieur agronome ,déracine l'amandier ,tempslibre,4,7,7
ciel gris-,avec l'éclair s'étale puis se rétracte,la pupille du chat,tempslibre,2,12,6
froid glacial-,la maman vend ,la poupée de sa petite ,tempslibre,3,4,9
soirée brumeuse -,sur les braises flotte,le parfum de l'encens ,tempslibre,6,6,6
feuille morte-,à l'échographie absence ,du pouls du fœtus ,tempslibre,4,8,4
dîner lourd-,un rot au goût de radis ,à mon visage ,tempslibre,3,7,5
nuages d'automne-,le potier garde un oeil,sur les jarres fraîches,tempslibre,6,7,6
provisions d'hiver -,poignée par poignée ,le blé dans la meule ,tempslibre,5,5,5
nuages d'automne-,dans la bassine à lessive ,la mousse monte monte ! ,tempslibre,6,9,7
touffeur-,dans la caisse à glace,le dernier sursaut du poisson ,tempslibre,2,7,8
nostalgie-,devant sa chaise vide un café pour lui,un café pour moi ,tempslibre,3,12,5
défilé de mode-,sur les pylônes haute tension,courent les fils électriques ,tempslibre,6,9,8
khôl-,sur ses paupières,un peu de nuit,tempslibre,1,5,4
rayon de soleil-,d'un frottement de citron,le chandelier reluit ,tempslibre,4,7,6
école déserte,sur le chariot à bonbons,un essaim de mouches ,tempslibre,6,7,6
nostalgie de la mère,avec le vent vole,la lettre du prisonnier ,tempslibre,7,6,7
coléoptère-,sur ses cheveux ébène ,les barrettes arc-en-ciel ,tempslibre,3,5,7
confinement-,de balcon en balcon,la conversation des grands-mères ,tempslibre,4,6,8
excursion printanière -,sur l'herbier,se pose un papillon ,tempslibre,7,3,7
nid d'oiseau-,sous la abaya*,elle allaite son bébé ,tempslibre,3,4,6
sécheresse de la rivière-,dans les mains de l'enfant,un bateau en papier ,tempslibre,8,6,6
bientôt le printemps-,dans le four de terre,sont nés les chatons ,tempslibre,4,6,4
lever du soleil -,"de la ""dalla""*déborde",le café du matin ,tempslibre,5,6,5
glace fine-,à la première rencontre,la relation s'arrête ,tempslibre,4,7,6
premier rendez-vous-,les fumées de leurs cigarettes,s'entrelacent ,tempslibre,5,9,4
Soleil de midi —,Eparpillés autour des grand-mères,les graines de tournesol ,tempslibre,5,8,7
Larmes -,Sur la table du café,elle laisse sa tasse,tempslibre,2,6,7
Gouttes de pluie -,Sur le tapis de prière,les paumes des mains vers le ciel ! ,tempslibre,4,7,8
route rapide,entre un arbre et un arbre,la Lune se lève ! ,tempslibre,5,9,5
décharge,mangées par les chèvres,de vieilles lettres d'amour ! ,tempslibre,2,5,7
limousine-,dans les décorations du pneu,les restes d’une sauterelle ,tempslibre,4,7,9
froid intense -,elles se serrent bien fort,les feuilles de salades ,tempslibre,4,7,7
Du vert intense,en écossant les petits pois -,moment suspendu ,tempslibre,5,7,5
Reflet,Sur la fenêtre du bûcheron,L' arbre a chuté ,tempslibre,2,7,4
Passage de la frontière-,les feuilles d'automne,sur la rivière ,tempslibre,8,6,5
Coccinelle,point rouge,sur la croix de la tombe ,tempslibre,4,3,7
Après la mort de l'oiseau,Des gouttes de pluie,Sur les barres de cage ,tempslibre,6,5,7
soleil du matin,l'ombre du facteur,sur les fleurs blanches ,tempslibre,5,5,5
Corde à linge,balancent à gauche et à droite,les vêtements du violoniste ,tempslibre,4,8,8
Cimetière,la coquille d'escargot,pleine de pluie ,tempslibre,4,7,4
Jour de l'Indépendance,les fleurs tombent,au lever du soleil ,tempslibre,6,4,6
Les ruines de la maison,l'araignée,Retisse sa toile ,tempslibre,7,3,6
Whatsapp,Les mots de ma mère,Au son des gouttes de pluie ,tempslibre,2,5,7
Nostalgie,premières gouttes de pluie,sur le rail ,tempslibre,3,7,3
Ta chemise blanche,soleil suspendu,dans mon armoire ,tempslibre,6,5,5
Retour des oies,des dizaines de lettres,dans ma boîte ,tempslibre,4,7,4
La ville est dévastée.,L'ombre d'un dictateur.,Dans la mosquée. ,tempslibre,6,6,5
WhatsApp -,La pluie tombe sur le visage de ma mère.,Au Centre des réfugiés. ,tempslibre,2,12,6
Le vieux puits.,Un écho.,Avec chaque balle. ,tempslibre,3,2,6
Les adieux,son ombre dans,ma valise ,tempslibre,3,4,4
Avec la pomme rouge.,Ramasse le vieux jardinier.,La dernière lumière du jour. ,tempslibre,7,8,9
Maison de la famille ,le goût du bonheur reste encore ,dans le vieux cerisier ,tempslibre,7,10,6
Avec la vieille balançoire,les souvenirs ,viennent et vont ,tempslibre,9,4,4
horloge sans aiguilles,sur ta fenêtre abandonnée,la lune,tempslibre,7,8,3
Maison abandonnée,de la fenêtre cassée,la lune sort,tempslibre,6,6,4
les lampes éteintes,sur la vitrine d'armes,la lune ,tempslibre,5,7,3
Deux ailes d'oiseau,ton rouge à lèvres,sur l'harmonica ,tempslibre,5,4,5
De ma main blessée,Je rouvre ,Tes anciennes lettres. ,tempslibre,5,3,6
Saint Valentin ,écoulement de la pluie ,sur la porte du cimetière ,tempslibre,4,6,9
(panneau Ceinture de sécurité,tout ce qui reste,sur le pont dévasté) ,tempslibre,8,5,4
Commençant avec une fleur,Et se terminant avec une fleur,Les limites de mon village,tempslibre,8,10,9
Gâteau rond,la lune ,sur ta fenêtre,tempslibre,2,3,4
Après le bombardement ,Même le mort,quitte sa tombe ,tempslibre,6,3,5
Oooh!,la neige a volé du voleur,les traces de ses pieds ,tempslibre,1,8,6
Éclair -,ton visage,dans l'obscurité ,tempslibre,1,4,4
Retour à la maison,l'ombre de la clé est devant moi,pour ouvrir la porte ,tempslibre,5,8,6
Dans la poussière diffusée,derrière le corbillard,l'odeur de la mort ,tempslibre,8,7,5
Maison des grands-parents,souvenir d'enfance,Dans la voix de la pluie ,tempslibre,6,6,6
Quelle rapidité,Sous la montre arrêtée de ma mère,Des battements de mon cœur ,tempslibre,5,9,7
La ville assiégée,la lune,entre et sort ,tempslibre,6,3,4
La fourmi,parle à une autre,sur le câble du téléphone ,tempslibre,3,6,6
maison des grand-parents,sur le vieux métier à tisser,des fils de lumière ,tempslibre,6,6,6
Portes fermés,devant le mendiant-,Même la porte du cimetière ,tempslibre,3,5,9
Croissant-,traces des dents de l'enfant,sur le chocolat ,tempslibre,2,7,5
école abandonnée,les noms des amis et leurs cœurs,sont encore sur les bancs ,tempslibre,6,8,7
Bague de mariage,Convient également pour dessiner,Une lune dans la neige ,tempslibre,6,9,8
Tombe du mendiant,Sa part des visiteurs,leurs ombres ,tempslibre,5,6,3
Pleins d'épingles,journaux de guerre,dans le magasin de mon voisin ,tempslibre,3,5,9
Le village abandonné,la rosée du matin,sur les fleurs du cimetière ,tempslibre,7,6,8
Après la lessive.,Une nouvelle fleur jaune,Dans la robe de ma fille. ,tempslibre,5,8,8
Tantôt rouge tantôt jaune,Sous les feux d'artifice,la main d'un mendiant ,tempslibre,6,7,5
Arrivée du train-,les vêtements flottent,Sur la corde à linge ,tempslibre,5,5,6
Retour à la maison,la chaise de ma grand-mère morte,se balance sur la terrasse ,tempslibre,5,9,9
Décombres-,dans l'œil vide de la poupée,les gouttes de la pluie tombent ,tempslibre,2,8,8
Avec le mur détruit,les mots aussi,Se brisent ,tempslibre,5,4,3
maison abandonnée,les gouttes de pluie sont restées,sur les pinces à linge ,tempslibre,6,8,6
Comme à la cérémonie du drapeau,se rangent l'un près l'autre,Les cercueils des enfants. ,tempslibre,8,6,6
Le retour d'Alep,Plus rapides que le bus,Les battements de mon cœur ,tempslibre,5,7,7
Cimetière de mon village,toutes les histoires de guerres,sur les pierres tombales ,tempslibre,9,9,7
La cour de la prison,dans la flaque de la pluie,la lune ,tempslibre,6,7,3
premières écritures,sur le nouveau mur de l'école,pluie de printemps ,tempslibre,6,8,4
Un morceau de charbon brûlé,il paraît dans l'obscurité,le navire des émigrés ,tempslibre,6,7,6
Jardins d' Alep,même toi escargot,cherche le printemps ,tempslibre,4,5,5
ablation du sein,entre la vie et la mort,le tatouage du papillon ,tempslibre,5,7,8
Matin d'automne,de ma poitrine,le brouillard sort ,tempslibre,5,5,4
balançoire à la lune,son soutien,Sur la corde à linge ,tempslibre,7,3,6
Après le bombardement,ombre du château,sur les restes du mur ,tempslibre,6,4,6
La voix du bombardement se lève-,du haut de la cascade,la lune tombe ,tempslibre,9,7,5
comme des boîtes aux mouchoirs,les tentes des émigrés se pressent,sous la neige ,tempslibre,8,8,4
Tempête de sable,le corbillard,couvert de poussière ,tempslibre,5,4,6
Naissance de jumeaux,le premier mort,l'autre ne cesse pas de pleurer ,tempslibre,6,4,9
Maison abandonnée,d'une fenêtre à l'autre,la lune se déplace ,tempslibre,6,6,6
