line_1,line_2,line_3,source
jardin zen --,je mélange un nuage qui passe,dans mon thé ,tempslibre
panne de courant à la mosquée,je rentre à la maison,avec de nouvelles sandales ,tempslibre
bateaux de pêche,les couleurs de,l'arc-en-ciel ,tempslibre
mercredi des cendres --,j'essaie de me rappeler,mon rêve ,tempslibre
séisme au japon,ce printemps sans dieu,tsunami ,tempslibre
matin de neige --,se verser une autre tasse,de café noir ,tempslibre
jour le plus court,les flammes dansent,dans le four ,tempslibre
brume,la moitié du cheval cachée,derrière la maison,tempslibre
soleil bas,la dame en rouge,sur des hauts talons,tempslibre
Avent,l'étranger qui passe,pète,tempslibre
petit lac de montagne,une bulle dans,la glace,tempslibre
flocons de neige,de l'asphalte nouveau,dans les trous,tempslibre
'Nuit de Cristal',   des bourrasques de pluie,      dehors,tempslibre
pluie,le son d'un cheval galopant,à travers les feuilles,tempslibre
étoiles d'hiver,soudain une bouffée,de parfum,tempslibre
j'ai faim,la moitié de la lune,pas là,tempslibre
pluie,une autre feuille,tombe,tempslibre
sharia,le bruit d'une main,qui applaudit,tempslibre
le bruit des oies,noyé dans le bruit du train,ce matin,tempslibre
soleil d'automne,mon ombre sur,les tombes,tempslibre
pêche à la mouche;,le bruit du vent,dans le moulinet,tempslibre
décembre,une ombre longue,rejoint une autre,tempslibre
fin du sentier,les flocons fondent,sur l'étang,tempslibre
gel du matin,elle part,la première,tempslibre
promenade du soir,l'odeur du goudron entre,les pins,tempslibre
dachau,un ciel bleu par-dessus,les cheminées,tempslibre
Fin d'automne;,La pomme plus froide,Sur l'arbre.,tempslibre
visitant les tombes,le vent d'octobre plus dur,sur mes grand-parents,tempslibre
par dessus la haie,une libellule,plein Est,tempslibre
une bulle,éclate à la surface,pleine lune,tempslibre
pluie,le lilas blanc,courbé,tempslibre
ma main,    sur ta hanche,         pleine lune,tempslibre
trois pétales tombent,de cône floral pourpre . . . ,bientôt l'été,tempslibre
messagerie instantanée  --,la lune révèle un peu plus,d'elle chaque nuit,tempslibre
Reflet,Sur la fenêtre du bûcheron,L' arbre a chuté ,tempslibre
Passage de la frontière-,les feuilles d'automne,sur la rivière ,tempslibre
Coccinelle,point rouge,sur la croix de la tombe ,tempslibre
Après la mort de l'oiseau,Des gouttes de pluie,Sur les barres de cage ,tempslibre
soleil du matin,l'ombre du facteur,sur les fleurs blanches ,tempslibre
Corde à linge,balancent à gauche et à droite,les vêtements du violoniste ,tempslibre
Cimetière,la coquille d'escargot,pleine de pluie ,tempslibre
Jour de l'Indépendance,les fleurs tombent,au lever du soleil ,tempslibre
Les ruines de la maison,l'araignée,Retisse sa toile ,tempslibre
Whatsapp,Les mots de ma mère,Au son des gouttes de pluie ,tempslibre
Nostalgie,premières gouttes de pluie,sur le rail ,tempslibre
Ta chemise blanche,soleil suspendu,dans mon armoire ,tempslibre
Retour des oies,des dizaines de lettres,dans ma boîte ,tempslibre
La ville est dévastée.,L'ombre d'un dictateur.,Dans la mosquée. ,tempslibre
WhatsApp -,La pluie tombe sur le visage de ma mère.,Au Centre des réfugiés. ,tempslibre
Le vieux puits.,Un écho.,Avec chaque balle. ,tempslibre
Les adieux,son ombre dans,ma valise ,tempslibre
Avec la pomme rouge.,Ramasse le vieux jardinier.,La dernière lumière du jour. ,tempslibre
Maison de la famille ,le goût du bonheur reste encore ,dans le vieux cerisier ,tempslibre
Avec la vieille balançoire,les souvenirs ,viennent et vont ,tempslibre
horloge sans aiguilles,sur ta fenêtre abandonnée,la lune,tempslibre
Maison abandonnée,de la fenêtre cassée,la lune sort,tempslibre
les lampes éteintes,sur la vitrine d'armes,la lune ,tempslibre
Deux ailes d'oiseau,ton rouge à lèvres,sur l'harmonica ,tempslibre
De ma main blessée,Je rouvre ,Tes anciennes lettres. ,tempslibre
Saint Valentin ,écoulement de la pluie ,sur la porte du cimetière ,tempslibre
du puits,dans un seau j'attrape,une lune,tempslibre
panneau Ceinture de sécurité,tout ce qui reste,sur le pont dévasté ,tempslibre
Commençant avec une fleur,Et se terminant avec une fleur,Les limites de mon village,tempslibre
Gâteau rond,la lune ,sur ta fenêtre,tempslibre
Après le bombardement ,Même le mort,quitte sa tombe ,tempslibre
Oooh!,la neige a volé du voleur,les traces de ses pieds ,tempslibre
Éclair -,ton visage,dans l'obscurité ,tempslibre
Retour à la maison,l'ombre de la clé est devant moi,pour ouvrir la porte ,tempslibre
Dans la poussière diffusée,derrière le corbillard,l'odeur de la mort ,tempslibre
Maison des grands-parents,souvenir d'enfance,Dans la voix de la pluie ,tempslibre
Quelle rapidité,Sous la montre arrêtée de ma mère,Des battements de mon cœur ,tempslibre
La ville assiégée,la lune,entre et sort ,tempslibre
La fourmi,parle à une autre,sur le câble du téléphone ,tempslibre
maison des grand-parents,sur le vieux métier à tisser,des fils de lumière ,tempslibre
Portes fermés,devant le mendiant-,Même la porte du cimetière ,tempslibre
Croissant-,traces des dents de l'enfant,sur le chocolat ,tempslibre
