line_1,line_2,line_3,source
Sur une colonne en bois,le vendeur des ballons,hisse ses souffles ,tempslibre
Nuit froide marchant seule,d'une maison une odeur,de beignets au sucre ,tempslibre
brume matinale,dans la tasse de café,la buée de l’arome ,tempslibre
averse au jardin,elle a fait naufrage,la tarte aux pommes ,tempslibre
sécheresse,dans l’eau vaseuse,un ibis blanc ,tempslibre
bruine d'automne,acidulée et fraiche,la pomme verte ,tempslibre
janvier,sur l’arbre foudroyé,le bruit de la pluie ,tempslibre
hiver lumineux,elle a gardé ses pétales,la dernière rose ,tempslibre
bruit de pas,la lune dans une flaque,sur le trottoir ,tempslibre
pinède au soir,au-dessus des parfums,la lune ,tempslibre
sécheresse,un ibis blanc,dans l’eau vaseuse ,tempslibre
bain parfumé,les pommes vertes,jusque dans l’oreiller ,tempslibre
auto fermée,l’arôme du café,s’étale ,tempslibre
crépuscule,d’un pin à l’autre,les sons s’éteignent ,tempslibre
crépuscule,le cœur de la rose,de plus en plus visible ,tempslibre
hiver,dans les yeux de grand-mère,une ombre grise ,tempslibre
aube fraîche,trois notes cristallines,l’oiseau gris du matin ,tempslibre
flambant neuf,les pétales blancs,du cerisier ,tempslibre
par à coups,le long du tronc -,la queue d'un écureuil ,tempslibre
papillon rouge,fleurissant la pelouse,du papier d'emballage,tempslibre
haïku,des ricochets dans l'eau,d'un lac,tempslibre
les phares traînent,le brouillard,en cornets,tempslibre
une photo oubliée,dans cette voiture,sourit,tempslibre
nuit sans étoiles,dans l'âtre,des étincelles ,tempslibre
tsss tsss,des braises -,pluie de printemps ,tempslibre
Nouveau costume-,à l'approche de la moisson,l'élégance de l'épouvantail ,tempslibre
solitude de l'automne-,Le gecko qui me faisait peur,est mort ,tempslibre
photo noir et blanc-,on dirait moi-même,feu mon grand père ,tempslibre
hôpital-,plus fanée encore la tige dans le flacon ,de médicaments ,tempslibre
chaleur du soir -,dans le ventre du gecko le moustique,et mon sang ,tempslibre
chaleur de midi -,Il prolonge sa prière,dans la mosquée climatisée ,tempslibre
coléoptère iridescent -,sur ses lèvres,un cramoisi pour la soirée ,tempslibre
jour de la mère-,dans la mosquée El Aksa le martyr,recommande sa maman,tempslibre
le champ de blé brûle ,vaine la fatigue,de l’épouvantail ,tempslibre
élagage des petites branches-,maman distribue des friandises,pour la circoncision ,tempslibre
arrêt des gazouillis -,avec la querelle ,chacun lave son assiette ,tempslibre
croissant de l’aïd*-,à côté de l’arbre le trou ,pour l’argent de la petite  ,tempslibre
bon ramadan !,sur what’s ap les voisins s’échangent ,des photos de plats ,tempslibre
Alzheimer-,sur le contrat de vente l’empreinte ,de son pouce ,tempslibre
rétroviseur latéral -,avec un torchon ,j’essuie le ciel ,tempslibre
nuit noire-,je dépoussière la chouette ,momifiée ,tempslibre
nuages-,au loin la pluie emporte ,l’urine du soûlard ,tempslibre
feu au dehors -,les sans abris,en un seul bloc ,tempslibre
maison de campagne-,sur la corde à linge sèche ,la viande à l’ail ,tempslibre
route boueuse -,à la main de la petite ,les nouvelles chaussures ,tempslibre
froideur d'hiver-,l'ingénieur agronome ,déracine l'amandier ,tempslibre
ciel gris-,avec l'éclair s'étale puis se rétracte,la pupille du chat,tempslibre
froid glacial-,la maman vend ,la poupée de sa petite ,tempslibre
soirée brumeuse -,sur les braises flotte,le parfum de l'encens ,tempslibre
feuille morte-,à l'échographie absence ,du pouls du fœtus ,tempslibre
dîner lourd-,un rot au goût de radis ,à mon visage ,tempslibre
nuages d'automne-,le potier garde un oeil,sur les jarres fraîches,tempslibre
provisions d'hiver -,poignée par poignée ,le blé dans la meule ,tempslibre
nuages d'automne-,dans la bassine à lessive ,la mousse monte monte ! ,tempslibre
touffeur-,dans la caisse à glace,le dernier sursaut du poisson ,tempslibre
nostalgie-,devant sa chaise vide un café pour lui,un café pour moi ,tempslibre
défilé de mode-,sur les pylônes haute tension,courent les fils électriques ,tempslibre
khôl-,sur ses paupières,un peu de nuit,tempslibre
rayon de soleil-,d'un frottement de citron,le chandelier reluit ,tempslibre
école déserte,sur le chariot à bonbons,un essaim de mouches ,tempslibre
nostalgie de la mère,avec le vent vole,la lettre du prisonnier ,tempslibre
coléoptère-,sur ses cheveux ébène ,les barrettes arc-en-ciel ,tempslibre
confinement-,de balcon en balcon,la conversation des grands-mères ,tempslibre
excursion printanière -,sur l'herbier,se pose un papillon ,tempslibre
nid d'oiseau-,sous la abaya*,elle allaite son bébé ,tempslibre
