line_1,line_2,line_3,source,line1_syllables,line2_syllables,line3_syllables,haiku
Says it all doesn't, it most of them don't even,know why they are there,twaiku,4,7,7,Says it all doesn't  it most of them don't even know why they are there
Cindy needed time, to take a nap on the floor,of the US Senate,twaiku,6,8,6,Cindy needed time  to take a nap on the floor of the US Senate
A glorious morn, Without a cloud to be seen,Why then do I cry,twaiku,4,7,5,A glorious morn  Without a cloud to be seen Why then do I cry
Now playing We'll Meet, Again by Barry O'Dowd,The Shamrock Singers,twaiku,4,7,5,Now playing We'll Meet  Again by Barry O'Dowd The Shamrock Singers
Watching some courage, the cowardly dog show to,start the day off right,twaiku,7,7,5,Watching some courage  the cowardly dog show to start the day off right
His skin is tormented,"with pricks, and over him sticks,","and never moves, an eye.",gutenberg,6,7,7,"His skin is tormented with pricks, and over him sticks, and never moves, an eye."
The Vikings have some, really neat traditions by,NFL standards,twaiku,7,7,2,The Vikings have some  really neat traditions by NFL standards
I'm so so stupid, He must be thinking I don't,wanna talk to him,twaiku,5,7,5,I'm so so stupid  He must be thinking I don't wanna talk to him
Having a great start, to the week Wishing all my,followers are too,twaiku,5,7,6,Having a great start  to the week Wishing all my followers are too
You truly are an, imbecile Do you collect,trolleys at Asda,twaiku,6,8,5,You truly are an  imbecile Do you collect trolleys at Asda
rain on summer sand,a child writes,the dead pony's name,sballas,5,4,6,rain on summer sand a child writes the dead pony's name
I'm very glad that, you stay determined keep up,the good work my dude,twaiku,5,8,6,I'm very glad that  you stay determined keep up the good work my dude
a darkest point,in the snow ultrasound,full autumn moon,haikuzao,4,6,4,a darkest point in the snow ultrasound full autumn moon
can you explain how, we've lost the technology,to go to the moon,twaiku,5,8,5,can you explain how  we've lost the technology to go to the moon
At a Halloween, party but wanted to say,man I love these Leafs,twaiku,5,7,7,At a Halloween  party but wanted to say man I love these Leafs
But she's not gonna, lie to me and tell me that,she's in nursing school,twaiku,5,7,5,But she's not gonna  lie to me and tell me that she's in nursing school
ago He is not, America This is a,dying newspaper,twaiku,5,7,4,ago He is not  America This is a dying newspaper
i will rebuild my, life again after my heart,was broke like glasses,twaiku,5,8,7,i will rebuild my  life again after my heart was broke like glasses
School kids' uniforms, here in Japan are A man,They look amazing,twaiku,5,9,5,School kids' uniforms  here in Japan are A man They look amazing
"Kurler explained,",his old hands nervously,Twisting his beard.,gutenberg,5,6,4,"Kurler explained, his old hands nervously Twisting his beard."
She took them smiling, softly that smile means she loves,them Thank you darling,twaiku,5,9,5,She took them smiling  softly that smile means she loves them Thank you darling
This is the purport,of my song: “My thoughts shall wander,in the Great Void.,gutenberg,5,8,4,This is the purport of my song: “My thoughts shall wander in the Great Void.
Our driveway look, good cause we all got nice cars,now not just the Benz,twaiku,5,9,5,Our driveway look  good cause we all got nice cars now not just the Benz
Northern line is HELL, tonight and now I'm running,late i love my life,twaiku,6,7,8,Northern line is HELL  tonight and now I'm running late i love my life
Awake ,Smell of rain ,two new haiga,tempslibre,3,3,4,Awake  Smell of rain  two new haiga
"winter,s end...",my warm socks,with big holes,haikuzao,3,3,4,"winter,s end... my warm socks with big holes"
Respond to inane, survey questions OH THANKS YOU'RE,RUINING CHRISTMAS,twaiku,6,8,4,Respond to inane  survey questions OH THANKS YOU'RE RUINING CHRISTMAS
i've never seen you, on camp before nice to see,you're from new york though,twaiku,6,9,6,i've never seen you  on camp before nice to see you're from new york though
Anyone know if, Photoshop is fixed with the,whole tablet issue,twaiku,5,8,6,Anyone know if  Photoshop is fixed with the whole tablet issue
Walked past the intern, smoking weed on his break Guess,who ain't see nothing,twaiku,6,7,5,Walked past the intern  smoking weed on his break Guess who ain't see nothing
I've never smoked weed, but Jeff Sessions is really,making me want to,twaiku,7,7,5,I've never smoked weed  but Jeff Sessions is really making me want to
i never,saw you that way marilyn,though perhaps incomplete,img2poems,3,7,7,i never saw you that way marilyn though perhaps incomplete
starry night,a million words,unspoken,tempslibre,3,4,3,starry night a million words unspoken
and halfred the scald said this,in the name of the lord i kiss,who on it was crucified,img2poems,7,9,7,and halfred the scald said this in the name of the lord i kiss who on it was crucified
Just because you don't, understand doesn't mean it's,something wrong with me,twaiku,6,6,6,Just because you don't  understand doesn't mean it's something wrong with me
The more money I, have in my account the more,I wanna save it,twaiku,6,9,6,The more money I  have in my account the more I wanna save it
when Shelby Miller, comes back what type of role do,you see him taking,twaiku,5,10,5,when Shelby Miller  comes back what type of role do you see him taking
Nope Not totally, against the use of dolphins,though if I'm honest,twaiku,6,8,5,Nope Not totally  against the use of dolphins though if I'm honest
The temptation to, be passive aggressive all,the time is too real,twaiku,5,9,6,The temptation to  be passive aggressive all the time is too real
o death all-eloquent,you only prove,what dust we dote on when 'tis man we love,img2poems,6,5,12,o death all-eloquent you only prove what dust we dote on when 'tis man we love
moonbeams??,the thin legs,of a new frog,sballas,2,3,4,moonbeams?? the thin legs of a new frog
an old temple,amongst cedar trees,too many leaves fallen...,tempslibre,4,5,7,an old temple amongst cedar trees too many leaves fallen...
Hi does anyone, knows how to delete feelings,Asking for a friend,twaiku,5,8,5,Hi does anyone  knows how to delete feelings Asking for a friend
Three lies I'm tired, of hearing I promise I,love you I'm sorry,twaiku,5,8,6,Three lies I'm tired  of hearing I promise I love you I'm sorry
twilight deepens??,the wordless things,i know,sballas,4,4,2,twilight deepens?? the wordless things i know
don't compete with his, friends because no matter what,you do you can't win,twaiku,6,8,5,don't compete with his  friends because no matter what you do you can't win
Dynasty League free, agent pick up Marlon Mack,or Michael Gallup,twaiku,6,7,5,Dynasty League free  agent pick up Marlon Mack or Michael Gallup
Gotta pander to, trump to shut his dumb ass up,while the adults talk,twaiku,5,7,6,Gotta pander to  trump to shut his dumb ass up while the adults talk
When I'm craving ALL, TYPES of food I can't decide,which one sounds better,twaiku,5,9,6,When I'm craving ALL  TYPES of food I can't decide which one sounds better
A coyote is, often indignant unless,it is a black one,twaiku,4,7,6,A coyote is  often indignant unless it is a black one
Everyone who makes, fun of my style is in the,pocket of Big Coat,twaiku,7,8,5,Everyone who makes  fun of my style is in the pocket of Big Coat
For goodness sake the, daffodils are in bloom and,I wake up to this,twaiku,6,8,6,For goodness sake the  daffodils are in bloom and I wake up to this
NO HIDE I WANNA, STARE AT YOU FROM A DISTANCE,I sound like a creep,twaiku,6,9,6,NO HIDE I WANNA  STARE AT YOU FROM A DISTANCE I sound like a creep
So what Even if, this is true let them figure,it out for themselves,twaiku,5,8,6,So what Even if  this is true let them figure it out for themselves
Rodgers is gonna, leave Green Bay They always trade,down and don't help him,twaiku,5,9,5,Rodgers is gonna  leave Green Bay They always trade down and don't help him
Only took me two, hours to convince myself,to go out as planned,twaiku,5,7,6,Only took me two  hours to convince myself to go out as planned
"In him, we saw A",luminous being rise from earth,and draw All lands above the clouds.,gutenberg,5,8,9,"In him, we saw A luminous being rise from earth and draw All lands above the clouds."
Who wants to donate, to my hair show ticket fund,Cash app accepted,twaiku,6,7,5,Who wants to donate  to my hair show ticket fund Cash app accepted
if i start braiding, hair i wonder would i get,alot of business,twaiku,5,7,6,if i start braiding  hair i wonder would i get alot of business
Peak winter break is, showering and getting back,into pajamas,twaiku,5,7,5,Peak winter break is  showering and getting back into pajamas
Important Order, of Business who will win The,Challenge this season,twaiku,5,8,6,Important Order  of Business who will win The Challenge this season
I missed the Grammy's, again this year How many,did Zeppelin win,twaiku,6,7,5,I missed the Grammy's  again this year How many did Zeppelin win
she could be heaven, or hell a strong mans dream and,a weak ones nightmare,twaiku,5,7,7,she could be heaven  or hell a strong mans dream and a weak ones nightmare
